filename,duration,tempo,detected_key,key_confidence,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zero_crossing_rate_mean,rms_mean,rms_std,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_C_mean,chroma_C#_mean,chroma_D_mean,chroma_D#_mean,chroma_E_mean,chroma_F_mean,chroma_F#_mean,chroma_G_mean,chroma_G#_mean,chroma_A_mean,chroma_A#_mean,chroma_B_mean,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,onset_density,energy_range,brightness_range,avg_phase_duration,phase_duration_std,has_climax,has_breakdown,has_build_up,structural_complexity,energy_progression,brightness_progression,mood_descriptors,primary_mood,mood_confidence,character_tags,primary_character,character_confidence,num_phases,phase_analysis_available
2020 winter chills.aif,403.5000,30.0000,F,0.4950,1818.8900,1340.0000,3198.3200,3054.8900,0.0270,0.0180,0.0080,-463.5535,152.9233,26.8421,-1.2736,-9.5982,-4.4426,-4.9707,-0.7808,-4.2974,2.0292,2.2613,2.1809,5.3426,103.8210,33.6964,29.0470,23.6499,21.4625,16.6707,11.7592,13.0576,10.7784,12.7377,12.7549,12.8384,14.1300,0.1380,0.1260,0.1350,0.2300,0.3780,0.4950,0.4600,0.2350,0.1800,0.1230,0.1140,0.1280,-0.0040,-0.0370,-0.0690,0.0380,-0.0090,-0.0020,2.0170,0.1406,10692.8220,16.8100,8.4600,True,False,True,4.0000,0.0000,brightening,"synthetic, droning",synthetic,0.9630,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,24,True
2021 02 28 station by the bay.aif,531.0000,30.0000,E,0.4890,2020.8500,820.7700,3665.9200,3291.3500,0.0340,0.0570,0.0260,-270.1888,161.1361,0.8436,15.8709,0.4353,5.0506,0.5388,5.3666,1.0161,-2.3242,-1.1869,2.2582,-3.6219,76.6202,28.8881,18.7747,19.1527,12.5553,9.0013,7.5576,10.1813,7.6729,10.6562,10.1570,7.9319,13.0104,0.3120,0.3520,0.4420,0.4670,0.4890,0.4450,0.3880,0.3690,0.3820,0.3530,0.3730,0.3700,0.0290,-0.0080,-0.0010,0.0080,0.0170,0.0080,1.9590,0.1679,8316.0470,14.7500,5.7300,True,False,False,4.0000,0.0000,brightening,"organic, synthetic, pensive, exuberant, warm, melodic, driving, droning",synthetic,0.9630,"analog_synth, digital_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,36,True
2021 04 09 flipped tablas.aif,435.5000,30.0000,D,0.7480,1963.4500,1262.0400,3663.5800,3284.2100,0.0310,0.0260,0.0240,-428.3468,115.9027,21.5129,17.7986,8.4047,9.7466,4.3062,1.5537,-1.4346,-0.9204,2.7366,6.1133,10.4792,63.5177,34.4897,23.2395,15.7270,16.0575,11.9553,9.8852,9.4583,10.8497,10.2997,9.3398,9.4148,12.3671,0.2290,0.3790,0.7480,0.3740,0.2780,0.2990,0.3100,0.3250,0.3290,0.2890,0.2460,0.2640,0.0130,0.0740,0.0420,-0.0490,-0.0230,-0.0110,2.1610,0.2619,2874.6590,12.4400,3.2300,True,False,True,3.0000,0.0000,stable,"organic, synthetic, droning",synthetic,0.9630,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,35,True
2021 04 18 grampy rabbit.aif,526.0000,30.0000,D,0.6970,926.4500,1233.1700,1243.6600,2162.0500,0.0150,0.1170,0.0460,-297.7108,194.8056,43.6674,14.6424,18.9531,19.7516,8.6869,1.3836,1.6149,-0.1436,0.2702,-0.5255,-0.4115,49.5876,24.1369,35.9443,22.0090,11.5660,10.3708,8.6398,8.1752,7.4247,6.7826,6.8068,7.6142,7.7611,0.6100,0.6350,0.6970,0.6300,0.6350,0.6340,0.5900,0.5430,0.5640,0.5530,0.5380,0.5780,-0.0380,-0.0190,-0.0170,-0.0760,-0.0160,0.0190,0.9330,0.1395,12429.1020,18.7900,10.2200,True,False,True,4.0000,0.0000,brightening,"crystalline, warm, driving, percussive, droning",percussive,0.9170,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",warm_harmonics,1.0000,28,True
2021 04 24 instead of.aif,958.5000,30.0000,D,0.5800,1742.7800,743.0800,3133.7400,2934.7800,0.0210,0.1300,0.0500,-194.1631,173.2090,-7.5064,23.4224,0.6600,17.0291,0.7509,7.8477,-1.8029,2.9944,1.7754,0.4089,1.5897,69.1100,24.6898,19.4471,12.7234,9.0890,8.4644,8.5360,7.1450,7.4400,6.1767,6.2626,6.8544,5.9579,0.5140,0.5070,0.5800,0.5330,0.4810,0.4700,0.4740,0.4880,0.4790,0.4810,0.5110,0.4960,-0.0230,0.1090,0.0720,0.0040,0.0180,0.0180,2.1640,0.2960,2234.2830,12.9500,3.0200,True,False,True,5.0000,0.0000,stable,"synthetic, tense, exuberant, warm, percussive, droning",synthetic,0.9630,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,74,True
2021 04 chime time.aif,288.5000,30.0000,D,0.6370,945.1500,843.2400,1368.6900,1972.1600,0.0170,0.0460,0.0330,-427.8447,166.7940,44.1732,14.3502,-2.1797,-3.4668,-2.3389,0.0584,-0.4209,-2.1901,-2.9807,-2.1944,-0.6807,82.9808,36.7737,45.9169,14.9899,13.2352,11.2597,10.0887,9.5758,8.5478,8.4455,8.5684,9.0103,9.6738,0.2090,0.3880,0.6370,0.3960,0.2620,0.2720,0.3620,0.4650,0.3300,0.2610,0.1770,0.1750,0.2930,0.3600,0.1960,-0.2420,-0.0530,-0.1030,1.2720,0.2429,7251.3050,16.0300,7.0200,True,False,False,5.0000,0.0000,brightening,"organic, pensive, crystalline, warm, melodic, droning",warm,1.0000,"analog_synth, mellotron, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",warm_harmonics,1.0000,18,True
2021 05 01 unclearing.aif,1192.0000,30.0000,B,0.5040,1787.2700,826.3900,3180.3900,2694.8600,0.0280,0.2020,0.0690,-153.3049,178.9533,-22.7773,13.9495,1.6542,1.9857,-3.1393,-4.9773,-6.8770,-4.1822,-5.6982,-3.9224,-2.3515,87.8157,34.6503,23.8023,15.0198,10.2372,6.7421,7.8117,8.1666,8.0160,8.3104,7.9637,13.1453,14.9139,0.4460,0.3650,0.3460,0.2700,0.3970,0.3640,0.4370,0.3810,0.4010,0.3000,0.3170,0.5040,0.1460,-0.0960,0.0090,0.1730,0.0380,-0.0150,2.0390,0.3703,11849.2960,15.8900,11.2800,True,False,True,7.0000,0.0000,brightening,"synthetic, tense, exuberant, warm, percussive, droning",synthetic,0.9630,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,75,True
2021 05 02 gongs and bongs raw.aif,402.5000,30.0000,C#,0.6930,2322.8100,1304.8800,4454.7600,3934.4400,0.0300,0.0380,0.0730,-424.2797,87.9578,21.4802,11.3169,5.4599,3.3144,1.0318,-0.1779,1.0026,2.2621,0.2105,-0.5567,0.5915,79.0428,38.5466,21.1158,12.1262,10.7143,9.5792,10.6776,11.3046,13.2227,13.8258,10.3289,7.4279,10.9529,0.5480,0.6930,0.5870,0.3850,0.2280,0.1920,0.2120,0.1340,0.1520,0.1890,0.2680,0.5150,-0.0270,0.1380,-0.0570,0.2050,0.0010,0.0810,2.2310,0.3336,6062.3110,13.8800,4.4100,True,False,False,2.0000,0.0000,brightening,"organic, synthetic, exuberant, warm, droning",synthetic,0.9630,"analog_synth, digital_synth, percussive_instrument, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,29,True
2021 07 10 tristar tribute.aif,232.0000,30.0000,C#,0.5620,1606.5400,362.3500,2676.7700,2237.6600,0.0360,0.3550,0.0830,-75.3186,204.2556,-40.4437,3.4666,-13.0062,-1.6013,-9.2180,-3.1208,0.5957,3.0116,1.1611,1.2977,0.8995,67.2587,28.8777,15.3060,7.5402,7.0792,8.7725,6.9674,5.9216,6.6414,5.6528,5.7425,5.6403,5.8350,0.3650,0.5620,0.4210,0.4040,0.3080,0.3640,0.4360,0.3880,0.3730,0.3260,0.5290,0.3440,-0.1770,-0.1130,0.0240,-0.1260,0.0410,0.0410,2.2280,0.3687,1490.1850,12.8900,3.2000,True,False,True,6.0000,0.0000,stable,"synthetic, tense, exuberant, warm, percussive, droning",synthetic,0.9630,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,18,True
2021 08 28 in cv 1st experiment.aif,846.0000,30.0000,E,0.5500,2076.0900,1073.5000,3749.7300,2844.1700,0.0460,0.0970,0.0590,-230.4840,167.0424,-19.7577,2.0186,-10.6226,0.1428,-6.0542,-6.7609,-2.7961,-0.3526,0.0366,1.5770,-2.5119,79.3140,52.9435,27.9731,17.0985,14.4237,14.3054,9.0524,10.3779,7.7244,7.3659,8.0101,7.9360,7.9106,0.2870,0.2920,0.2250,0.2500,0.5500,0.5450,0.2840,0.2540,0.3190,0.2360,0.1790,0.1970,-0.0170,0.0710,-0.1750,-0.0180,-0.0150,-0.0200,2.2100,0.2269,3315.8220,21.1500,22.4000,True,False,True,6.0000,0.0000,brightening,"synthetic, tense, exuberant, driving, percussive, droning",synthetic,0.9630,"analog_synth, digital_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,40,True
2021 10 02 under construction with the soma enner.aif,297.0000,30.0000,B,0.6250,3510.0300,2870.7900,7073.7200,4233.7600,0.0610,0.0070,0.0130,-520.5668,101.0948,5.6437,1.3628,5.2269,4.6442,0.9925,-1.1402,-0.5001,-0.0608,1.4120,2.9191,3.1075,91.8352,71.3032,37.1589,19.4789,12.1177,11.3761,11.0432,9.2241,8.2186,7.3151,7.3106,6.2979,6.1631,0.5910,0.5100,0.5510,0.5620,0.5610,0.5000,0.5120,0.4630,0.5100,0.5180,0.5490,0.6250,0.0290,-0.0260,0.0550,0.0110,-0.0230,-0.0080,3.5020,0.1033,10776.6200,18.5600,10.5700,False,False,True,4.0000,0.0000,brightening,"spacey, synthetic, tense, exuberant, glitchy, ethereal, atmospheric, percussive",glitchy,0.9170,"analog_synth, digital_synth, mellotron, percussive_instrument, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,16,True
2021 10 06 some enner g.aif,468.0000,30.0000,C,0.6130,927.1500,376.7400,1269.6800,2302.0600,0.0110,0.1540,0.0570,-259.2606,191.9666,25.8578,12.1970,18.1755,8.2860,8.6697,4.5737,3.9705,6.1486,3.6538,7.9456,2.0082,50.7770,22.8846,23.2384,12.6941,9.4636,9.8539,7.8164,7.7245,6.3659,6.5009,5.8831,5.6582,5.6120,0.6130,0.5590,0.5140,0.5650,0.6070,0.6120,0.6100,0.5600,0.5660,0.5790,0.5870,0.6090,-0.0340,-0.0070,-0.0370,-0.0840,-0.0100,0.0290,1.7910,0.1757,826.0830,12.6500,2.5100,True,False,True,6.0000,0.0000,stable,"exuberant, warm, percussive, droning",percussive,0.9170,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,37,True
